"CountryCode","Country","Year","Sex","LifeExpectancyAt60","LifeExpectancy","Region"
"AFG","Afghanistan",2000,"MLE",13.63259,54.57449,"Eastern Mediterranean"
"AFG","Afghanistan",2010,"MLE",15.07067,59.60036,"Eastern Mediterranean"
"AFG","Afghanistan",2015,"MLE",15.67539,61.03658,"Eastern Mediterranean"
"AFG","Afghanistan",2019,"MLE",15.39356,63.28709,"Eastern Mediterranean"
"AFG","Afghanistan",2000,"FMLE",14.20647,55.41726,"Eastern Mediterranean"
"AFG","Afghanistan",2010,"FMLE",15.16855,60.2972,"Eastern Mediterranean"
"AFG","Afghanistan",2015,"FMLE",15.51821,62.34584,"Eastern Mediterranean"
"AFG","Afghanistan",2019,"FMLE",15.05771,63.15551,"Eastern Mediterranean"
"AFG","Afghanistan",2000,"BTSX",13.92182,54.98949,"Eastern Mediterranean"
"AFG","Afghanistan",2010,"BTSX",15.12046,59.94055,"Eastern Mediterranean"
"AFG","Afghanistan",2015,"BTSX",15.58858,61.65429,"Eastern Mediterranean"
"AFG","Afghanistan",2019,"BTSX",15.21116,63.2099,"Eastern Mediterranean"
"AGO","Angola",2000,"MLE",12.82086,46.77004,"Africa"
"AGO","Angola",2010,"MLE",14.3696,55.77834,"Africa"
"AGO","Angola",2015,"MLE",14.99474,59.13242,"Africa"
"AGO","Angola",2019,"MLE",15.37612,60.70384,"Africa"
"AGO","Angola",2000,"FMLE",16.00562,52.12018,"Africa"
"AGO","Angola",2010,"FMLE",17.54322,60.52821,"Africa"
"AGO","Angola",2015,"FMLE",18.41525,64.49519,"Africa"
"AGO","Angola",2019,"FMLE",18.55177,65.51968,"Africa"
"AGO","Angola",2000,"BTSX",14.41537,49.30265,"Africa"
"AGO","Angola",2010,"BTSX",15.97037,58.06943,"Africa"
"AGO","Angola",2015,"BTSX",16.70558,61.71907,"Africa"
"AGO","Angola",2019,"BTSX",16.98254,63.06044,"Africa"
"ALB","Albania",2000,"MLE",17.10085,70.65347,"Europe"
"ALB","Albania",2010,"MLE",19.94106,74.23331,"Europe"
"ALB","Albania",2015,"MLE",20.13324,76.1022,"Europe"
"ALB","Albania",2019,"MLE",20.21802,76.25368,"Europe"
"ALB","Albania",2000,"FMLE",21.2058,76.91914,"Europe"
"ALB","Albania",2010,"FMLE",22.63415,78.31106,"Europe"
"ALB","Albania",2015,"FMLE",22.1517,79.68682,"Europe"
"ALB","Albania",2019,"FMLE",21.94139,79.90692,"Europe"
"ALB","Albania",2000,"BTSX",18.9965,73.54528,"Europe"
"ALB","Albania",2010,"BTSX",21.30705,76.24688,"Europe"
"ALB","Albania",2015,"BTSX",21.12651,77.84428,"Europe"
"ALB","Albania",2019,"BTSX",21.03024,78.00018,"Europe"
"ARE","United Arab Emirates",2000,"MLE",17.97226,72.1955,"Eastern Mediterranean"
"ARE","United Arab Emirates",2010,"MLE",18.78866,73.86103,"Eastern Mediterranean"
"ARE","United Arab Emirates",2015,"MLE",18.61118,74.25413,"Eastern Mediterranean"
"ARE","United Arab Emirates",2019,"MLE",19.18054,75.09794,"Eastern Mediterranean"
"ARE","United Arab Emirates",2000,"FMLE",19.83245,75.05625,"Eastern Mediterranean"
"ARE","United Arab Emirates",2010,"FMLE",21.18052,77.39238,"Eastern Mediterranean"
"ARE","United Arab Emirates",2015,"FMLE",21.28877,77.84315,"Eastern Mediterranean"
"ARE","United Arab Emirates",2019,"FMLE",21.6932,78.42261,"Eastern Mediterranean"
"ARE","United Arab Emirates",2000,"BTSX",18.68954,73.18027,"Eastern Mediterranean"
"ARE","United Arab Emirates",2010,"BTSX",19.52888,74.86285,"Eastern Mediterranean"
"ARE","United Arab Emirates",2015,"BTSX",19.41152,75.31077,"Eastern Mediterranean"
"ARE","United Arab Emirates",2019,"BTSX",19.9195,76.07952,"Eastern Mediterranean"
"ARG","Argentina",2000,"MLE",17.58203,70.3352,"Americas"
"ARG","Argentina",2010,"MLE",18.26594,72.14228,"Americas"
"ARG","Argentina",2015,"MLE",18.63383,72.91711,"Americas"
"ARG","Argentina",2019,"MLE",18.8424,73.5108,"Americas"
"ARG","Argentina",2000,"FMLE",22.5176,77.82746,"Americas"
"ARG","Argentina",2010,"FMLE",22.6963,78.63397,"Americas"
"ARG","Argentina",2015,"FMLE",23.04211,79.29972,"Americas"
"ARG","Argentina",2019,"FMLE",23.08149,79.50281,"Americas"
"ARG","Argentina",2000,"BTSX",20.18435,74.08556,"Americas"
"ARG","Argentina",2010,"BTSX",20.62202,75.43737,"Americas"
"ARG","Argentina",2015,"BTSX",20.98281,76.16682,"Americas"
"ARG","Argentina",2019,"BTSX",21.10569,76.57514,"Americas"
"ARM","Armenia",2000,"MLE",17.07504,68.58817,"Europe"
"ARM","Armenia",2010,"MLE",16.76439,69.38869,"Europe"
"ARM","Armenia",2015,"MLE",17.32031,70.88089,"Europe"
"ARM","Armenia",2019,"MLE",18.24439,72.48704,"Europe"
"ARM","Armenia",2000,"FMLE",20.23012,74.90656,"Europe"
"ARM","Armenia",2010,"FMLE",20.52249,76.61044,"Europe"
"ARM","Armenia",2015,"FMLE",21.17347,77.83168,"Europe"
"ARM","Armenia",2019,"FMLE",22.14937,79.16326,"Europe"
"ARM","Armenia",2000,"BTSX",18.81273,71.88136,"Europe"
"ARM","Armenia",2010,"BTSX",18.79116,73.11896,"Europe"
"ARM","Armenia",2015,"BTSX",19.42225,74.51096,"Europe"
"ARM","Armenia",2019,"BTSX",20.40912,76.02519,"Europe"
"ATG","Antigua and Barbuda",2000,"MLE",19.11551,71.99642,"Americas"
"ATG","Antigua and Barbuda",2010,"MLE",19.13809,73.56496,"Americas"
"ATG","Antigua and Barbuda",2015,"MLE",19.58714,74.43078,"Americas"
"ATG","Antigua and Barbuda",2019,"MLE",19.80667,74.88465,"Americas"
"ATG","Antigua and Barbuda",2000,"FMLE",21.31565,76.95264,"Americas"
"ATG","Antigua and Barbuda",2010,"FMLE",21.77437,78.24885,"Americas"
"ATG","Antigua and Barbuda",2015,"FMLE",21.19921,77.75526,"Americas"
"ATG","Antigua and Barbuda",2019,"FMLE",21.31431,77.9584,"Americas"
"ATG","Antigua and Barbuda",2000,"BTSX",20.27213,74.56184,"Americas"
"ATG","Antigua and Barbuda",2010,"BTSX",20.49768,75.94979,"Americas"
"ATG","Antigua and Barbuda",2015,"BTSX",20.43042,76.13984,"Americas"
"ATG","Antigua and Barbuda",2019,"BTSX",20.58658,76.45393,"Americas"
"AUS","Australia",2000,"MLE",21.21776,77.12505,"Western Pacific"
"AUS","Australia",2010,"MLE",23.28758,79.8374,"Western Pacific"
"AUS","Australia",2015,"MLE",23.71678,80.40707,"Western Pacific"
"AUS","Australia",2019,"MLE",24.36551,81.2524,"Western Pacific"
"AUS","Australia",2000,"FMLE",24.85136,82.24073,"Western Pacific"
"AUS","Australia",2010,"FMLE",26.12805,83.98511,"Western Pacific"
"AUS","Australia",2015,"FMLE",26.26551,84.16809,"Western Pacific"
"AUS","Australia",2019,"FMLE",26.82651,84.84017,"Western Pacific"
"AUS","Australia",2000,"BTSX",23.10601,79.69334,"Western Pacific"
"AUS","Australia",2010,"BTSX",24.73881,81.9043,"Western Pacific"
"AUS","Australia",2015,"BTSX",25.0094,82.2783,"Western Pacific"
"AUS","Australia",2019,"BTSX",25.61516,83.04064,"Western Pacific"
"AUT","Austria",2000,"MLE",19.7297,75.09416,"Europe"
"AUT","Austria",2010,"MLE",21.43645,77.64973,"Europe"
"AUT","Austria",2015,"MLE",21.79523,78.60368,"Europe"
"AUT","Austria",2019,"MLE",22.42696,79.44242,"Europe"
"AUT","Austria",2000,"FMLE",23.6939,80.98243,"Europe"
"AUT","Austria",2010,"FMLE",25.16038,82.98865,"Europe"
"AUT","Austria",2015,"FMLE",25.21209,83.28748,"Europe"
"AUT","Austria",2019,"FMLE",25.59926,83.78033,"Europe"
"AUT","Austria",2000,"BTSX",21.95156,78.16925,"Europe"
"AUT","Austria",2010,"BTSX",23.43472,80.3856,"Europe"
"AUT","Austria",2015,"BTSX",23.59105,80.98208,"Europe"
"AUT","Austria",2019,"BTSX",24.09157,81.64519,"Europe"
"AZE","Azerbaijan",2000,"MLE",15.12332,62.57429,"Europe"
"AZE","Azerbaijan",2010,"MLE",14.95343,66.28625,"Europe"
"AZE","Azerbaijan",2015,"MLE",15.13816,67.94234,"Europe"
"AZE","Azerbaijan",2019,"MLE",15.64735,68.7806,"Europe"
"AZE","Azerbaijan",2000,"FMLE",17.87904,68.4967,"Europe"
"AZE","Azerbaijan",2010,"FMLE",17.64102,71.82773,"Europe"
"AZE","Azerbaijan",2015,"FMLE",17.9467,73.42561,"Europe"
"AZE","Azerbaijan",2019,"FMLE",18.32116,74.09107,"Europe"
"AZE","Azerbaijan",2000,"BTSX",16.61171,65.52002,"Europe"
"AZE","Azerbaijan",2010,"BTSX",16.36495,69.02677,"Europe"
"AZE","Azerbaijan",2015,"BTSX",16.6171,70.6707,"Europe"
"AZE","Azerbaijan",2019,"BTSX",17.05974,71.42894,"Europe"
"BDI","Burundi",2000,"MLE",11.77394,41.79497,"Africa"
"BDI","Burundi",2010,"MLE",14.24017,56.85909,"Africa"
"BDI","Burundi",2015,"MLE",14.85207,59.83564,"Africa"
"BDI","Burundi",2019,"MLE",15.221,61.54819,"Africa"
"BDI","Burundi",2000,"FMLE",14.02612,45.85238,"Africa"
"BDI","Burundi",2010,"FMLE",16.82963,60.31611,"Africa"
"BDI","Burundi",2015,"FMLE",17.38546,64.26167,"Africa"
"BDI","Burundi",2019,"FMLE",17.62977,66.13831,"Africa"
"BDI","Burundi",2000,"BTSX",12.9724,43.78423,"Africa"
"BDI","Burundi",2010,"BTSX",15.61196,58.59703,"Africa"
"BDI","Burundi",2015,"BTSX",16.17832,62.04675,"Africa"
"BDI","Burundi",2019,"BTSX",16.47308,63.83847,"Africa"
"BEL","Belgium",2000,"MLE",19.30914,74.53505,"Europe"
"BEL","Belgium",2010,"MLE",21.12148,77.23535,"Europe"
"BEL","Belgium",2015,"MLE",21.847,78.48286,"Europe"
"BEL","Belgium",2019,"MLE",22.32841,79.29116,"Europe"
"BEL","Belgium",2000,"FMLE",23.69473,80.73817,"Europe"
"BEL","Belgium",2010,"FMLE",24.8801,82.37853,"Europe"
"BEL","Belgium",2015,"FMLE",25.15147,82.86372,"Europe"
"BEL","Belgium",2019,"FMLE",25.5833,83.50694,"Europe"
"BEL","Belgium",2000,"BTSX",21.63166,77.66169,"Europe"
"BEL","Belgium",2010,"BTSX",23.10626,79.84602,"Europe"
"BEL","Belgium",2015,"BTSX",23.585,80.71184,"Europe"
"BEL","Belgium",2019,"BTSX",24.02222,81.42305,"Europe"
"BEN","Benin",2000,"MLE",14.49027,54.30958,"Africa"
"BEN","Benin",2010,"MLE",15.16484,58.03378,"Africa"
"BEN","Benin",2015,"MLE",15.62039,59.66497,"Africa"
"BEN","Benin",2019,"MLE",16.12865,61.19024,"Africa"
"BEN","Benin",2000,"FMLE",17.41239,58.77462,"Africa"
"BEN","Benin",2010,"FMLE",17.96548,62.87867,"Africa"
"BEN","Benin",2015,"FMLE",18.20796,64.24706,"Africa"
"BEN","Benin",2019,"FMLE",18.52186,65.66406,"Africa"
"BEN","Benin",2000,"BTSX",16.07895,56.59007,"Africa"
