"CountryCode","Year","Sex","LifeExpectancyAt60"
"AFG",2000,"MLE",13.63259
"AFG",2010,"MLE",15.07067
"AFG",2015,"MLE",15.67539
"AFG",2019,"MLE",15.39356
"AFG",2000,"FMLE",14.20647
"AFG",2010,"FMLE",15.16855
"AFG",2015,"FMLE",15.51821
"AFG",2019,"FMLE",15.05771
"AFG",2000,"BTSX",13.92182
"AFG",2010,"BTSX",15.12046
"AFG",2015,"BTSX",15.58858
"AFG",2019,"BTSX",15.21116
"AGO",2000,"MLE",12.82086
"AGO",2010,"MLE",14.3696
"AGO",2015,"MLE",14.99474
"AGO",2019,"MLE",15.37612
"AGO",2000,"FMLE",16.00562
"AGO",2010,"FMLE",17.54322
"AGO",2015,"FMLE",18.41525
"AGO",2019,"FMLE",18.55177
"AGO",2000,"BTSX",14.41537
"AGO",2010,"BTSX",15.97037
"AGO",2015,"BTSX",16.70558
"AGO",2019,"BTSX",16.98254
"ALB",2000,"MLE",17.10085
"ALB",2010,"MLE",19.94106
"ALB",2015,"MLE",20.13324
"ALB",2019,"MLE",20.21802
"ALB",2000,"FMLE",21.2058
"ALB",2010,"FMLE",22.63415
"ALB",2015,"FMLE",22.1517
"ALB",2019,"FMLE",21.94139
"ALB",2000,"BTSX",18.9965
"ALB",2010,"BTSX",21.30705
"ALB",2015,"BTSX",21.12651
"ALB",2019,"BTSX",21.03024
"ARE",2000,"MLE",17.97226
"ARE",2010,"MLE",18.78866
"ARE",2015,"MLE",18.61118
"ARE",2019,"MLE",19.18054
"ARE",2000,"FMLE",19.83245
"ARE",2010,"FMLE",21.18052
"ARE",2015,"FMLE",21.28877
"ARE",2019,"FMLE",21.6932
"ARE",2000,"BTSX",18.68954
"ARE",2010,"BTSX",19.52888
"ARE",2015,"BTSX",19.41152
"ARE",2019,"BTSX",19.9195
"ARG",2000,"MLE",17.58203
"ARG",2010,"MLE",18.26594
"ARG",2015,"MLE",18.63383
"ARG",2019,"MLE",18.8424
"ARG",2000,"FMLE",22.5176
"ARG",2010,"FMLE",22.6963
"ARG",2015,"FMLE",23.04211
"ARG",2019,"FMLE",23.08149
"ARG",2000,"BTSX",20.18435
"ARG",2010,"BTSX",20.62202
"ARG",2015,"BTSX",20.98281
"ARG",2019,"BTSX",21.10569
"ARM",2000,"MLE",17.07504
"ARM",2010,"MLE",16.76439
"ARM",2015,"MLE",17.32031
"ARM",2019,"MLE",18.24439
"ARM",2000,"FMLE",20.23012
"ARM",2010,"FMLE",20.52249
"ARM",2015,"FMLE",21.17347
"ARM",2019,"FMLE",22.14937
"ARM",2000,"BTSX",18.81273
"ARM",2010,"BTSX",18.79116
"ARM",2015,"BTSX",19.42225
"ARM",2019,"BTSX",20.40912
"ATG",2000,"MLE",19.11551
"ATG",2010,"MLE",19.13809
"ATG",2015,"MLE",19.58714
"ATG",2019,"MLE",19.80667
"ATG",2000,"FMLE",21.31565
