"IndicatorCode","SpatialDimType","SpatialDim","TimeDimType","TimeDim","Dim1Type","Dim1","NumericValue"
"WHOSIS_000001","COUNTRY","AFG","YEAR",2000,"SEX","MLE",54.57449
"WHOSIS_000001","COUNTRY","AFG","YEAR",2010,"SEX","MLE",59.60036
"WHOSIS_000001","COUNTRY","AFG","YEAR",2015,"SEX","MLE",61.03658
"WHOSIS_000001","COUNTRY","AFG","YEAR",2019,"SEX","MLE",63.28709
"WHOSIS_000001","COUNTRY","AFG","YEAR",2000,"SEX","FMLE",55.41726
"WHOSIS_000001","COUNTRY","AFG","YEAR",2010,"SEX","FMLE",60.2972
"WHOSIS_000001","COUNTRY","AFG","YEAR",2015,"SEX","FMLE",62.34584
"WHOSIS_000001","COUNTRY","AFG","YEAR",2019,"SEX","FMLE",63.15551
"WHOSIS_000001","COUNTRY","AFG","YEAR",2000,"SEX","BTSX",54.98949
"WHOSIS_000001","COUNTRY","AFG","YEAR",2010,"SEX","BTSX",59.94055
"WHOSIS_000001","COUNTRY","AFG","YEAR",2015,"SEX","BTSX",61.65429
"WHOSIS_000001","COUNTRY","AFG","YEAR",2019,"SEX","BTSX",63.2099
"WHOSIS_000001","COUNTRY","AGO","YEAR",2000,"SEX","MLE",46.77004
"WHOSIS_000001","COUNTRY","AGO","YEAR",2010,"SEX","MLE",55.77834
"WHOSIS_000001","COUNTRY","AGO","YEAR",2015,"SEX","MLE",59.13242
"WHOSIS_000001","COUNTRY","AGO","YEAR",2019,"SEX","MLE",60.70384
"WHOSIS_000001","COUNTRY","AGO","YEAR",2000,"SEX","FMLE",52.12018
"WHOSIS_000001","COUNTRY","AGO","YEAR",2010,"SEX","FMLE",60.52821
"WHOSIS_000001","COUNTRY","AGO","YEAR",2015,"SEX","FMLE",64.49519
"WHOSIS_000001","COUNTRY","AGO","YEAR",2019,"SEX","FMLE",65.51968
"WHOSIS_000001","COUNTRY","AGO","YEAR",2000,"SEX","BTSX",49.30265
"WHOSIS_000001","COUNTRY","AGO","YEAR",2010,"SEX","BTSX",58.06943
"WHOSIS_000001","COUNTRY","AGO","YEAR",2015,"SEX","BTSX",61.71907
"WHOSIS_000001","COUNTRY","AGO","YEAR",2019,"SEX","BTSX",63.06044
"WHOSIS_000001","COUNTRY","ALB","YEAR",2000,"SEX","MLE",70.65347
"WHOSIS_000001","COUNTRY","ALB","YEAR",2010,"SEX","MLE",74.23331
"WHOSIS_000001","COUNTRY","ALB","YEAR",2015,"SEX","MLE",76.1022
"WHOSIS_000001","COUNTRY","ALB","YEAR",2019,"SEX","MLE",76.25368
"WHOSIS_000001","COUNTRY","ALB","YEAR",2000,"SEX","FMLE",76.91914
"WHOSIS_000001","COUNTRY","ALB","YEAR",2010,"SEX","FMLE",78.31106
"WHOSIS_000001","COUNTRY","ALB","YEAR",2015,"SEX","FMLE",79.68682
"WHOSIS_000001","COUNTRY","ALB","YEAR",2019,"SEX","FMLE",79.90692
"WHOSIS_000001","COUNTRY","ALB","YEAR",2000,"SEX","BTSX",73.54528
"WHOSIS_000001","COUNTRY","ALB","YEAR",2010,"SEX","BTSX",76.24688
"WHOSIS_000001","COUNTRY","ALB","YEAR",2015,"SEX","BTSX",77.84428
"WHOSIS_000001","COUNTRY","ALB","YEAR",2019,"SEX","BTSX",78.00018
"WHOSIS_000001","COUNTRY","ARE","YEAR",2000,"SEX","MLE",72.1955
"WHOSIS_000001","COUNTRY","ARE","YEAR",2010,"SEX","MLE",73.86103
"WHOSIS_000001","COUNTRY","ARE","YEAR",2015,"SEX","MLE",74.25413
"WHOSIS_000001","COUNTRY","ARE","YEAR",2019,"SEX","MLE",75.09794
"WHOSIS_000001","COUNTRY","ARE","YEAR",2000,"SEX","FMLE",75.05625
"WHOSIS_000001","COUNTRY","ARE","YEAR",2010,"SEX","FMLE",77.39238
"WHOSIS_000001","COUNTRY","ARE","YEAR",2015,"SEX","FMLE",77.84315
"WHOSIS_000001","COUNTRY","ARE","YEAR",2019,"SEX","FMLE",78.42261
"WHOSIS_000001","COUNTRY","ARE","YEAR",2000,"SEX","BTSX",73.18027
"WHOSIS_000001","COUNTRY","ARE","YEAR",2010,"SEX","BTSX",74.86285
"WHOSIS_000001","COUNTRY","ARE","YEAR",2015,"SEX","BTSX",75.31077
"WHOSIS_000001","COUNTRY","ARE","YEAR",2019,"SEX","BTSX",76.07952
"WHOSIS_000001","COUNTRY","ARG","YEAR",2000,"SEX","MLE",70.3352
"WHOSIS_000001","COUNTRY","ARG","YEAR",2010,"SEX","MLE",72.14228
"WHOSIS_000001","COUNTRY","ARG","YEAR",2015,"SEX","MLE",72.91711
"WHOSIS_000001","COUNTRY","ARG","YEAR",2019,"SEX","MLE",73.5108
"WHOSIS_000001","COUNTRY","ARG","YEAR",2000,"SEX","FMLE",77.82746
"WHOSIS_000001","COUNTRY","ARG","YEAR",2010,"SEX","FMLE",78.63397
"WHOSIS_000001","COUNTRY","ARG","YEAR",2015,"SEX","FMLE",79.29972
"WHOSIS_000001","COUNTRY","ARG","YEAR",2019,"SEX","FMLE",79.50281
"WHOSIS_000001","COUNTRY","ARG","YEAR",2000,"SEX","BTSX",74.08556
"WHOSIS_000001","COUNTRY","ARG","YEAR",2010,"SEX","BTSX",75.43737
"WHOSIS_000001","COUNTRY","ARG","YEAR",2015,"SEX","BTSX",76.16682
"WHOSIS_000001","COUNTRY","ARG","YEAR",2019,"SEX","BTSX",76.57514
"WHOSIS_000001","COUNTRY","ARM","YEAR",2000,"SEX","MLE",68.58817
"WHOSIS_000001","COUNTRY","ARM","YEAR",2010,"SEX","MLE",69.38869
"WHOSIS_000001","COUNTRY","ARM","YEAR",2015,"SEX","MLE",70.88089
"WHOSIS_000001","COUNTRY","ARM","YEAR",2019,"SEX","MLE",72.48704
"WHOSIS_000001","COUNTRY","ARM","YEAR",2000,"SEX","FMLE",74.90656
"WHOSIS_000001","COUNTRY","ARM","YEAR",2010,"SEX","FMLE",76.61044
"WHOSIS_000001","COUNTRY","ARM","YEAR",2015,"SEX","FMLE",77.83168
"WHOSIS_000001","COUNTRY","ARM","YEAR",2019,"SEX","FMLE",79.16326
"WHOSIS_000001","COUNTRY","ARM","YEAR",2000,"SEX","BTSX",71.88136
"WHOSIS_000001","COUNTRY","ARM","YEAR",2010,"SEX","BTSX",73.11896
"WHOSIS_000001","COUNTRY","ARM","YEAR",2015,"SEX","BTSX",74.51096
"WHOSIS_000001","COUNTRY","ARM","YEAR",2019,"SEX","BTSX",76.02519
"WHOSIS_000001","COUNTRY","ATG","YEAR",2000,"SEX","MLE",71.99642
"WHOSIS_000001","COUNTRY","ATG","YEAR",2010,"SEX","MLE",73.56496
"WHOSIS_000001","COUNTRY","ATG","YEAR",2015,"SEX","MLE",74.43078
"WHOSIS_000001","COUNTRY","ATG","YEAR",2019,"SEX","MLE",74.88465
"WHOSIS_000001","COUNTRY","ATG","YEAR",2000,"SEX","FMLE",76.95264
"WHOSIS_000001","COUNTRY","ATG","YEAR",2010,"SEX","FMLE",78.24885
"WHOSIS_000001","COUNTRY","ATG","YEAR",2015,"SEX","FMLE",77.75526
"WHOSIS_000001","COUNTRY","ATG","YEAR",2019,"SEX","FMLE",77.9584
"WHOSIS_000001","COUNTRY","ATG","YEAR",2000,"SEX","BTSX",74.56184
"WHOSIS_000001","COUNTRY","ATG","YEAR",2010,"SEX","BTSX",75.94979
"WHOSIS_000001","COUNTRY","ATG","YEAR",2015,"SEX","BTSX",76.13984
"WHOSIS_000001","COUNTRY","ATG","YEAR",2019,"SEX","BTSX",76.45393
"WHOSIS_000001","COUNTRY","AUS","YEAR",2000,"SEX","MLE",77.12505
"WHOSIS_000001","COUNTRY","AUS","YEAR",2010,"SEX","MLE",79.8374
"WHOSIS_000001","COUNTRY","AUS","YEAR",2015,"SEX","MLE",80.40707
"WHOSIS_000001","COUNTRY","AUS","YEAR",2019,"SEX","MLE",81.2524
"WHOSIS_000001","COUNTRY","AUS","YEAR",2000,"SEX","FMLE",82.24073
"WHOSIS_000001","COUNTRY","AUS","YEAR",2010,"SEX","FMLE",83.98511
"WHOSIS_000001","COUNTRY","AUS","YEAR",2015,"SEX","FMLE",84.16809
"WHOSIS_000001","COUNTRY","AUS","YEAR",2019,"SEX","FMLE",84.84017
"WHOSIS_000001","COUNTRY","AUS","YEAR",2000,"SEX","BTSX",79.69334
"WHOSIS_000001","COUNTRY","AUS","YEAR",2010,"SEX","BTSX",81.9043
"WHOSIS_000001","COUNTRY","AUS","YEAR",2015,"SEX","BTSX",82.2783
"WHOSIS_000001","COUNTRY","AUS","YEAR",2019,"SEX","BTSX",83.04064
"WHOSIS_000001","COUNTRY","AUT","YEAR",2000,"SEX","MLE",75.09416
"WHOSIS_000001","COUNTRY","AUT","YEAR",2010,"SEX","MLE",77.64973
"WHOSIS_000001","COUNTRY","AUT","YEAR",2015,"SEX","MLE",78.60368
"WHOSIS_000001","COUNTRY","AUT","YEAR",2019,"SEX","MLE",79.44242
"WHOSIS_000001","COUNTRY","AUT","YEAR",2000,"SEX","FMLE",80.98243
"WHOSIS_000001","COUNTRY","AUT","YEAR",2010,"SEX","FMLE",82.98865
"WHOSIS_000001","COUNTRY","AUT","YEAR",2015,"SEX","FMLE",83.28748
"WHOSIS_000001","COUNTRY","AUT","YEAR",2019,"SEX","FMLE",83.78033
"WHOSIS_000001","COUNTRY","AUT","YEAR",2000,"SEX","BTSX",78.16925
"WHOSIS_000001","COUNTRY","AUT","YEAR",2010,"SEX","BTSX",80.3856
"WHOSIS_000001","COUNTRY","AUT","YEAR",2015,"SEX","BTSX",80.98208
"WHOSIS_000001","COUNTRY","AUT","YEAR",2019,"SEX","BTSX",81.64519
"WHOSIS_000001","COUNTRY","AZE","YEAR",2000,"SEX","MLE",62.57429
"WHOSIS_000001","COUNTRY","AZE","YEAR",2010,"SEX","MLE",66.28625
"WHOSIS_000001","COUNTRY","AZE","YEAR",2015,"SEX","MLE",67.94234
"WHOSIS_000001","COUNTRY","AZE","YEAR",2019,"SEX","MLE",68.7806
"WHOSIS_000001","COUNTRY","AZE","YEAR",2000,"SEX","FMLE",68.4967
"WHOSIS_000001","COUNTRY","AZE","YEAR",2010,"SEX","FMLE",71.82773
"WHOSIS_000001","COUNTRY","AZE","YEAR",2015,"SEX","FMLE",73.42561
"WHOSIS_000001","COUNTRY","AZE","YEAR",2019,"SEX","FMLE",74.09107
"WHOSIS_000001","COUNTRY","AZE","YEAR",2000,"SEX","BTSX",65.52002
"WHOSIS_000001","COUNTRY","AZE","YEAR",2010,"SEX","BTSX",69.02677
"WHOSIS_000001","COUNTRY","AZE","YEAR",2015,"SEX","BTSX",70.6707
"WHOSIS_000001","COUNTRY","AZE","YEAR",2019,"SEX","BTSX",71.42894
